id	label
ENVO:01001397	ultisol
ENVO:00002255	solonetz
ENVO:00005802	bulk soil
ENVO:00002250	plinthosol
ENVO:00005787	eucalyptus forest soil
ENVO:00002262	clay soil
ENVO:00002237	chernozem
ENVO:00005768	orchid soil
ENVO:00002234	acrisol
ENVO:02000059	surface soil
ENVO:00002230	anthrosol
ENVO:00005784	spruce forest soil
ENVO:00002247	nitisol
ENVO:00002242	lixisol
ENVO:00002241	leptosol
ENVO:00002243	histosol
ENVO:00002231	alisol
ENVO:00005786	upland soil
ENVO:00002236	cryosol
ENVO:00005789	bluegrass field soil
ENVO:00005765	frozen compost soil
ENVO:00002246	ferralsol
ENVO:01001528	friable-frozen soil
ENVO:00002274	stagnosol
ENVO:00005752	sawah soil
ENVO:00005769	mountain forest soil
ENVO:00005740	paddy field soil
ENVO:00002245	gypsisol
ENVO:00002238	durisol
ENVO:00002275	technosol
ENVO:00002254	vertisol
ENVO:01001638	frost-susceptible soil
ENVO:00005760	burned soil
ENVO:00005766	limed soil
ENVO:00002249	phaeozem
ENVO:00005758	alluvial swamp soil
ENVO:00005742	arable soil
ENVO:00001998	soil
ENVO:00005781	heat stressed soil
ENVO:00005756	lawn soil
ENVO:00005759	alluvial paddy field soil
ENVO:00002871	alluvial soil
ENVO:00002233	albeluvisol
ENVO:00005771	muddy soil
ENVO:00002252	solonchak
ENVO:00002229	arenosol
ENVO:06105205	compacted soil
ENVO:00005778	tropical soil
ENVO:00005782	ornithogenic soil
ENVO:00005748	dry soil
ENVO:01001616	bare soil
ENVO:00005788	rubber plantation soil
ENVO:01001525	hard-frozen soil
ENVO:00005754	fertilized soil
ENVO:00002251	planosol
ENVO:00005751	jungle soil
ENVO:00002244	gleysol
ENVO:00005744	allotment garden soil
ENVO:00002258	loam
ENVO:00005779	vegetable garden soil
ENVO:00002248	luvisol
ENVO:00002273	fluvisol
ENVO:00005770	beech forest soil
ENVO:00005741	alpine soil
ENVO:00005783	leafy wood soil
ENVO:00002235	cambisol
ENVO:00002240	kastanozem
ENVO:00005790	red soil
ENVO:01001527	plastic-frozen soil
ENVO:01001185	acidic soil
ENVO:00005747	compost soil
ENVO:03600036	pathogen-suppressive soil
ENVO:00002253	umbrisol
ENVO:00002239	calcisol
ENVO:00002232	andosol
ENVO:00002256	regosol
ENVO:00002257	podzol
ENVO:00005767	manured soil
