s	s_is_soil	s_is_reasonable_other	slab	p	plab	p_lab_or_id	relation_is_reasonable	o	o_is_soil	o_is_reasonable_other	olab	slab_olab_cosine	sole_reasonable_other	sole_soil
ENVO:00001998	False	False	soil	BFO:0000050	part of	part of	True	ENVO:01000820	False	True	pedosphere	0.31622776601683794	pedosphere	
ENVO:00001998	False	False	soil	BFO:0000051	has part	has part	True	ENVO:00002982	False	False	clay	0.25		
ENVO:00001998	False	False	soil	BFO:0000051	has part	has part	True	ENVO:01000016	False	False	silt	0.75		
ENVO:00001998	False	False	soil	BFO:0000051	has part	has part	True	ENVO:01000017	False	False	sand	0.25		
ENVO:00001998	False	False	soil	BFO:0000051	has part	has part	True	ENVO:01000155	False	False	organic material	0.375		
ENVO:00001998	False	False	soil	BFO:0000051	has part	has part	True	ENVO:01000256	False	False	mineral material	0.25		
ENVO:00001998	False	False	soil	RO:0000086	has quality	has quality	False	PATO:0000984	False	False	porous	0.4082482904638631		
ENVO:00001998	False	False	soil	RO:0000091	has disposition	has disposition	False	ENVO:06105304	False	False	water-holding capacity of soil	0.3651483716701107		
ENVO:00001998	False	False	soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00010483	False	False	environmental material	0.31980107453341566		
ENVO:00001998	False	False	soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:01000813	False	True	astronomical body part	0.42640143271122083	astronomical body part	
ENVO:00002116	True	False	contaminated soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003082	True	False	enriched soil	0.6726727939963124		
ENVO:00002117	True	False	creosote contaminated soil	ENVO:02000200	has increased levels of	has increased levels of	False	ENVO:2000001	False	True	creosote	0.5547001962252291	creosote	creosote contaminated soil
ENVO:00002117	True	False	creosote contaminated soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002116	True	False	contaminated soil	0.8086075400626399		
ENVO:00002145	True	False	chromate contaminated soil	ENVO:02000200	has increased levels of	has increased levels of	False	CHEBI:35404	False	True	chromate(2-)	0.45291081365783825	chromate(2-)	chromate contaminated soil
ENVO:00002145	True	False	chromate contaminated soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003081	True	False	metal contaminated soil	0.8996469021204838		
ENVO:00002146	True	False	xylene contaminated soil	ENVO:02000200	has increased levels of	has increased levels of	False	CHEBI:27338	False	True	xylene	0.5	xylene	xylene contaminated soil
ENVO:00002146	True	False	xylene contaminated soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002116	True	False	contaminated soil	0.8416254115301732		
ENVO:00002229	True	False	arenosol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5303300858899106		arenosol
ENVO:00002230	True	False	anthrosol	RO:0002353	output of	output of	False	ENVO:01000952	False	False	anthropisation	0.7126966450997984		anthrosol
ENVO:00002230	True	False	anthrosol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5		anthrosol
ENVO:00002230	True	False	anthrosol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:0010001	False	False	anthropogenic environmental material	0.4444444444444444		anthrosol
ENVO:00002231	True	False	alisol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.8164965809277261		alisol
ENVO:00002232	True	False	andosol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5669467095138409		andosol
ENVO:00002233	True	False	albeluvisol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6030226891555273		albeluvisol
ENVO:00002234	True	False	acrisol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:01001397	True	False	ultisol	0.5714285714285714		
ENVO:00002235	True	False	cambisol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.7071067811865475		cambisol
ENVO:00002236	True	False	cryosol	BFO:0000050	part of	part of	True	ENVO:00000134	False	False	permafrost	0.35856858280031806		cryosol
ENVO:00002236	True	False	cryosol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:01001526	True	False	frozen soil	0.5698028822981898		
ENVO:00002237	True	False	chernozem	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.16666666666666666		chernozem
ENVO:00002238	True	False	durisol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.7559289460184544		durisol
ENVO:00002239	True	False	calcisol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.7071067811865475		calcisol
ENVO:00002240	True	False	kastanozem	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.31622776601683794		kastanozem
ENVO:00002241	True	False	leptosol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5303300858899106		leptosol
ENVO:00002242	True	False	lixisol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.7559289460184544		lixisol
ENVO:00002243	True	False	histosol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.7071067811865475		histosol
ENVO:00002244	True	False	gleysol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5669467095138409		gleysol
ENVO:00002245	True	False	gypsisol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.7071067811865475		gypsisol
ENVO:00002246	True	False	ferralsol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5		ferralsol
ENVO:00002247	True	False	nitisol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.7559289460184544		nitisol
ENVO:00002248	True	False	luvisol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.7559289460184544		luvisol
ENVO:00002249	True	False	phaeozem	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.17677669529663687		phaeozem
ENVO:00002250	True	False	plinthosol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6324555320336759		plinthosol
ENVO:00002251	True	False	planosol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5303300858899106		planosol
ENVO:00002252	True	False	solonchak	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5		solonchak
ENVO:00002253	True	False	umbrisol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.7071067811865475		umbrisol
ENVO:00002254	True	False	vertisol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.7071067811865475		vertisol
ENVO:00002255	True	False	solonetz	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5303300858899106		solonetz
ENVO:00002256	True	False	regosol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5669467095138409		regosol
ENVO:00002257	True	False	podzol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.4082482904638631		podzol
ENVO:00002258	True	False	loam	RO:0000053	has characteristic	has characteristic	False	ENVO:06105271	False	False	soil texture	0.2886751345948129		loam
ENVO:00002258	True	False	loam	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5		loam
ENVO:00002259	True	False	agricultural soil	BFO:0000050	part of	part of	True	ENVO:00000077	False	True	agricultural ecosystem	0.7756315349925288	agricultural ecosystem	agricultural soil
ENVO:00002259	True	False	agricultural soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.48507125007266594		agricultural soil
ENVO:00002260	True	False	dune soil	BFO:0000050	part of	part of	True	ENVO:00000170	False	True	dune	0.6666666666666666	dune	dune soil
ENVO:00002260	True	False	dune soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00005786	True	False	upland soil	0.8040302522073697		
ENVO:00002261	True	False	forest soil	RO:0001025	located in	located in	True	ENVO:00000111	False	True	forested area	0.5853694070049635	forested area	forest soil
ENVO:00002261	True	False	forest soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6030226891555273		forest soil
